task_id	name	status	exit	realtime	peak_vmem	peak_rss
1057	perform_pairwise_association_test (903)	COMPLETED	0	9m 15s	3 GB	2.5 GB
1124	perform_pairwise_association_test (970)	COMPLETED	0	9m 36s	3 GB	2.5 GB
1058	perform_pairwise_association_test (904)	COMPLETED	0	9m 26s	3 GB	2.5 GB
1059	perform_pairwise_association_test (905)	COMPLETED	0	9m 23s	3 GB	2.6 GB
1060	perform_pairwise_association_test (906)	COMPLETED	0	9m 22s	3 GB	2.5 GB
1153	perform_pairwise_association_test (999)	COMPLETED	0	9m 9s	3 GB	2.5 GB
454	perform_pairwise_association_test (300)	COMPLETED	0	8m 47s	3 GB	2.5 GB
1123	perform_pairwise_association_test (969)	COMPLETED	0	9m 44s	3 GB	2.5 GB
1003	perform_pairwise_association_test (849)	COMPLETED	0	9m 25s	3 GB	2.5 GB
625	perform_pairwise_association_test (471)	COMPLETED	0	9m 41s	3 GB	2.5 GB
624	perform_pairwise_association_test (470)	COMPLETED	0	10m 23s	3 GB	2.5 GB
1117	perform_pairwise_association_test (963)	COMPLETED	0	8m 53s	3 GB	2.5 GB
1001	perform_pairwise_association_test (847)	COMPLETED	0	9m 47s	3 GB	2.5 GB
1002	perform_pairwise_association_test (848)	COMPLETED	0	9m 44s	3 GB	2.5 GB
717	perform_pairwise_association_test (563)	COMPLETED	0	9m 15s	3 GB	2.5 GB
718	perform_pairwise_association_test (564)	COMPLETED	0	9m 3s	3 GB	2.5 GB
1115	perform_pairwise_association_test (961)	COMPLETED	0	9m 18s	3.1 GB	2.6 GB
842	perform_pairwise_association_test (688)	COMPLETED	0	8m 45s	3.2 GB	2.7 GB
843	perform_pairwise_association_test (689)	COMPLETED	0	8m 31s	3 GB	2.5 GB
844	perform_pairwise_association_test (690)	COMPLETED	0	9m	3 GB	2.5 GB
1092	perform_pairwise_association_test (938)	COMPLETED	0	9m 29s	3 GB	2.5 GB
841	perform_pairwise_association_test (687)	COMPLETED	0	9m 40s	3 GB	2.5 GB
1094	perform_pairwise_association_test (940)	COMPLETED	0	9m 15s	3 GB	2.5 GB
938	perform_pairwise_association_test (784)	COMPLETED	0	9m 6s	3 GB	2.5 GB
864	perform_pairwise_association_test (710)	COMPLETED	0	7m 26s	3 GB	2.5 GB
937	perform_pairwise_association_test (783)	COMPLETED	0	9m 39s	3 GB	2.5 GB
939	perform_pairwise_association_test (785)	COMPLETED	0	9m 4s	3 GB	2.5 GB
1066	perform_pairwise_association_test (912)	COMPLETED	0	9m 3s	3 GB	2.5 GB
1093	perform_pairwise_association_test (939)	COMPLETED	0	10m 16s	3 GB	2.5 GB
1064	perform_pairwise_association_test (910)	COMPLETED	0	9m 34s	3 GB	2.6 GB
1041	perform_pairwise_association_test (887)	COMPLETED	0	9m 30s	3 GB	2.5 GB
1045	perform_pairwise_association_test (891)	COMPLETED	0	8m 52s	3 GB	2.5 GB
377	perform_pairwise_association_test (223)	COMPLETED	0	8m 55s	3 GB	2.5 GB
379	perform_pairwise_association_test (225)	COMPLETED	0	8m 55s	3 GB	2.5 GB
623	perform_pairwise_association_test (469)	COMPLETED	0	14m 20s	3 GB	2.5 GB
940	perform_pairwise_association_test (786)	COMPLETED	0	10m 28s	3.1 GB	2.6 GB
1063	perform_pairwise_association_test (909)	COMPLETED	0	10m 17s	3 GB	2.5 GB
1065	perform_pairwise_association_test (911)	COMPLETED	0	10m 20s	3 GB	2.5 GB
1040	perform_pairwise_association_test (886)	COMPLETED	0	9m 52s	3 GB	2.6 GB
1044	perform_pairwise_association_test (890)	COMPLETED	0	9m 29s	3 GB	2.5 GB
1042	perform_pairwise_association_test (888)	COMPLETED	0	9m 40s	3 GB	2.5 GB
1046	perform_pairwise_association_test (892)	COMPLETED	0	9m 28s	3 GB	2.5 GB
585	perform_pairwise_association_test (431)	COMPLETED	0	9m 44s	3 GB	2.5 GB
376	perform_pairwise_association_test (222)	COMPLETED	0	9m 20s	3 GB	2.5 GB
378	perform_pairwise_association_test (224)	COMPLETED	0	9m 22s	3 GB	2.5 GB
747	perform_pairwise_association_test (593)	COMPLETED	0	9m 14s	3 GB	2.5 GB
748	perform_pairwise_association_test (594)	COMPLETED	0	9m 8s	3 GB	2.5 GB
853	perform_pairwise_association_test (699)	COMPLETED	0	9m 22s	3 GB	2.5 GB
1043	perform_pairwise_association_test (889)	COMPLETED	0	9m 52s	3 GB	2.5 GB
854	perform_pairwise_association_test (700)	COMPLETED	0	9m 26s	3 GB	2.5 GB
471	perform_pairwise_association_test (317)	COMPLETED	0	8m 34s	3 GB	2.5 GB
1125	perform_pairwise_association_test (971)	COMPLETED	0	14m	3 GB	2.5 GB
975	perform_pairwise_association_test (821)	COMPLETED	0	12m 59s	3 GB	2.5 GB
1017	perform_pairwise_association_test (863)	COMPLETED	0	9m 43s	3.3 GB	2.8 GB
750	perform_pairwise_association_test (596)	COMPLETED	0	9m 30s	3 GB	2.5 GB
485	perform_pairwise_association_test (331)	COMPLETED	0	9m 27s	3 GB	2.5 GB
486	perform_pairwise_association_test (332)	COMPLETED	0	9m 32s	3 GB	2.5 GB
487	perform_pairwise_association_test (333)	COMPLETED	0	9m 41s	3 GB	2.5 GB
488	perform_pairwise_association_test (334)	COMPLETED	0	9m 37s	3 GB	2.5 GB
489	perform_pairwise_association_test (335)	COMPLETED	0	9m 15s	3.3 GB	2.8 GB
