"","replicate_id","undershoot_ratio","subsample","replicate_id.1","undershoot_ratio.1","subsample.1","replicate_id.2","undershoot_ratio.2","subsample.2","replicate_id.3","undershoot_ratio.3","subsample.3","replicate_id.4","undershoot_ratio.4","subsample.4","replicate_id.5","undershoot_ratio.5","subsample.5","replicate_id.6","undershoot_ratio.6","subsample.6","replicate_id.7","undershoot_ratio.7","subsample.7","replicate_id.8","undershoot_ratio.8","subsample.8","replicate_id.9","undershoot_ratio.9","subsample.9"
"1",1,1.32883183159226,1000,1,1.13829152575822,1000,1,1.23432164823743,1000,1,1.19208260807486,1000,1,6.43762989495285,1000,1,1.24400724070264,1000,1,1.97242652578808,1000,1,1.28571304444882,1000,1,1.22468828306247,1000,1,7.6332186171223,1000
"2",2,4.4450920470596,1000,2,1.04903745456166,1000,2,2.15509802247677,1000,2,1.36045446875138,1000,2,1.03511289819871,1000,2,2.1870118210613,1000,2,4.39276498063367,1000,2,1.2850229228096,1000,2,2.00017382348181,1000,2,4.13088792669906,1000
"3",3,1.10639958624645,1000,3,1.49104789303845,1000,3,1.29874359620816,1000,3,5.13351336706435,1000,3,9.46892586903748,1000,3,1.21960216366487,1000,3,1.23839532311384,1000,3,1.1531501444796,1000,3,1.17497111576369,1000,3,3.16075305111729,1000
"4",4,1.05162230510192,1000,4,1.33479136330688,1000,4,1.46175287280047,1000,4,1.1320435682958,1000,4,1.29303452690501,1000,4,1.26868049762496,1000,4,1.43918509610063,1000,4,1.21800026992174,1000,4,0.938530089627439,1000,4,2.8396879676027,1000
"5",5,1.06470448647363,1000,5,1.3319437949542,1000,5,1.09088435667768,1000,5,1.26646853477044,1000,5,1.69354481213105,1000,5,1.08183630079448,1000,5,1.2753122538359,1000,5,1.31443950198599,1000,5,1.3179632908493,1000,5,7.26892942169591,1000
"6",6,0.998330930052387,1000,6,1.44599688359823,1000,6,2.78278856120705,1000,6,1.22457583366989,1000,6,1.18048257205198,1000,6,2.0313538884779,1000,6,1.1429348069056,1000,6,1.24905491251641,1000,6,1.14706914931718,1000,6,32.0819702587296,1000
"7",7,1.12882433789491,1000,7,1.3027260938911,1000,7,1.12537693637641,1000,7,1.02732500465446,1000,7,2.51886492655905,1000,7,1.21024952828532,1000,7,2.31124868848005,1000,7,1.38246407597369,1000,7,1.2411921584608,1000,7,30.6175354288549,1000
"8",8,8.96857753106905,1000,8,1.40830747593222,1000,8,1.13988643550189,1000,8,2.22071819808183,1000,8,1.33165851804445,1000,8,1.09977894942625,1000,8,1.1703044111347,1000,8,1.36651698674584,1000,8,1.39001086443389,1000,8,3.40676859640362,1000
"9",9,1.23478436999445,1000,9,1.97803619628723,1000,9,1.09820910231198,1000,9,1.25775498760919,1000,9,0.990422144750064,1000,9,1.20940371827122,1000,9,1.10686877585045,1000,9,0.975416396505027,1000,9,1.37779827819619,1000,9,3.81438254990572,1000
"10",10,1.18041921175573,1000,10,1.2053517250074,1000,10,1.44049896602823,1000,10,1.00533701668268,1000,10,1.87900931605865,1000,10,1.06676980035826,1000,10,2.0049424092703,1000,10,1.78881619253585,1000,10,0.955606723855717,1000,10,10.1113015857356,1000
"11",11,1.24750728082262,1000,11,1.35246258016832,1000,11,1.33498198946559,1000,11,5.71659023904786,1000,11,2.95450666073104,1000,11,1.02748065306563,1000,11,1.04637233646924,1000,11,2.35366919932697,1000,11,1.06773472610057,1000,11,7.61382079423147,1000
"12",12,1.19406519936632,1000,12,1.73737790706921,1000,12,1.08723435978475,1000,12,1.35950377761267,1000,12,1.73484831348286,1000,12,1.06868873773775,1000,12,1.83063484763458,1000,12,0.953505828573304,1000,12,1.09243465023418,1000,12,5.66515035376261,1000
