"","replicate_id","overshoot_ratio","subsample","replicate_id","overshoot_ratio","subsample"
"1",1,1.71072207936311,5690,1,1.26797939667171,5690
"2",2,1.87497561351639,5690,2,1.53576985925164,5690
"3",3,1.77384599024819,5690,3,1.12483733876246,5690
"4",4,3.07907621730359,5690,4,1.13729570926863,5690
"5",5,1.6702266195123,5690,5,1.5902174129547,5690
"6",6,2.10642560382321,5690,6,1.17612520791817,5690
"7",7,1.70086511129521,5690,7,1.35667801130554,5690
"8",8,1.46418699772341,5690,8,1.21390672189472,5690
"9",9,1.30055138074928,5690,9,1.39874849575533,5690
"10",10,1.71509695340712,5690,10,1.81583898279214,5690
"11",11,2.24898040039501,5690,11,1.13087188448893,5690
"12",12,1.26331668631438,5690,12,1.33354221120266,5690
"13",13,1.59207314215022,5690,13,1.55718335389282,5690
"14",14,2.32294864683177,5690,14,1.22579803860545,5690
"15",15,1.40972537159613,5690,15,1.32930628813174,5690
"16",16,1.56299830969937,5690,16,1.7082082811293,5690
"17",17,1.64352537703708,5690,17,1.41792581819086,5690
"18",18,1.72054862370241,5690,18,1.98223739375341,5690
"19",19,1.54480257212486,5690,19,1.33372428355006,5690
"20",20,1.3819696433837,5690,20,1.20019104314404,5690
"21",21,1.39604868472758,5690,21,1.19143021234271,5690
"22",22,2.13364705663219,5690,22,1.09553037339761,5690
"23",23,1.61539226801659,5690,23,1.1888308158926,5690
"24",24,1.61498103383592,5690,24,1.06114979515931,5690
"25",25,1.47014865068841,5690,25,1.12089852137111,5690
"26",26,2.57715664898342,5690,26,1.48414708295992,5690
"27",27,2.08669667260751,5690,27,1.13033772466656,5690
"28",28,1.26946124906721,5690,28,1.24209326415842,5690
"29",29,2.41124056885053,5690,29,1.21753178871772,5690
"30",30,1.58663419329378,5690,30,1.10284472824068,5690
"31",31,1.72587122317429,5690,31,1.48838950968968,5690
"32",32,1.26291490524163,5690,32,1.20355485902819,5690
"33",33,1.1936290597877,5690,33,1.22975275896159,5690
"34",34,1.28631547859906,5690,34,1.72744561411679,5690
"35",35,1.4272511926345,5690,35,1.16097706599306,5690
"36",36,1.31470885971349,5690,36,1.37858119487622,5690
"37",37,1.33605149526401,5690,37,1.63083891015031,5690
"38",38,2.90822386641559,5690,38,1.74199185086061,5690
"39",39,1.23656693234011,5690,39,1.39676138035487,5690
"40",40,2.56482670260027,5690,40,1.58545972158194,5690
"41",41,1.88461250801756,5690,41,1.09371648538209,5690
"42",42,1.21968370347882,5690,42,1.15639087957502,5690
"43",43,1.51321294326404,5690,43,1.79073062329492,5690
"44",44,2.31564524223176,5690,44,1.34039116034375,5690
"45",45,1.55329647250512,5690,45,1.25415030546786,5690
"46",46,1.69960060272483,5690,46,1.54048944982841,5690
"47",47,1.03027140285275,5690,47,1.02085104161079,5690
"48",48,1.51687064314906,5690,48,1.31194626371852,5690
"49",49,2.53472135144328,5690,49,1.22479501552888,5690
"50",50,1.80115290744077,5690,50,1.28439830775797,5690
"51",51,1.46204100387376,5690,51,1.27005197620072,5690
"52",52,1.50537139721228,5690,52,1.32229520808131,5690
"53",53,1.23922011546286,5690,53,1.73665251284625,5690
"54",54,1.77242237503932,5690,54,1.36870193739871,5690
"55",55,1.59862585445558,5690,55,1.44702971250003,5690
"56",56,2.15083329474201,5690,56,1.67979716557106,5690
"57",57,2.63575691240162,5690,57,1.55084587713909,5690
"58",58,1.27683835995729,5690,58,1.07050951823363,5690
"59",59,1.91241271385589,5690,59,1.24939169213194,5690
"60",60,1.48820027342708,5690,60,1.11099033944277,5690
"61",61,1.24600120268713,5690,61,1.2323672579068,5690
