"","replicate_id","overshoot_ratio","subsample","replicate_id","overshoot_ratio","subsample"
"1",1,1.00837416368597,5690,1,1.08339277733626,5690
"2",2,0.982250182904576,5690,2,1.07578816175551,5690
"3",3,1.0681124367415,5690,3,1.77309360221326,5690
"4",4,1.26688724950021,5690,4,1.15477771983152,5690
"5",5,0.976383647826766,5690,5,1.06224995986458,5690
"6",6,1.15168471127567,5690,6,1.55687410750671,5690
"7",7,1.18269951788465,5690,7,1.1384712479646,5690
"8",8,1.07240862760484,5690,8,1.2066094911632,5690
"9",9,1.1576965006842,5690,9,1.1815170935979,5690
"10",10,1.08266061609749,5690,10,1.0237736956087,5690
"11",11,1.03151261273772,5690,11,1.08392705032406,5690
"12",12,1.113345470554,5690,12,1.49828950122697,5690
"13",13,1.00459772883579,5690,13,1.08810569737238,5690
"14",14,1.07463475476273,5690,14,1.21648918345734,5690
"15",15,1.31178529967163,5690,15,1.05366166276474,5690
"16",16,0.994520443026374,5690,16,1.04674663551203,5690
"17",17,1.03086436293899,5690,17,1.00215074479143,5690
"18",18,1.00856680972722,5690,18,1.11250569019117,5690
"19",19,1.11987031041879,5690,19,1.17987856030623,5690
"20",20,1.06196746730365,5690,20,1.23482982085921,5690
"21",21,1.16913912226489,5690,21,1.06890877004614,5690
"22",22,1.11304161577403,5690,22,1.13037994585479,5690
"23",23,1.04858696519281,5690,23,1.29561745409392,5690
"24",24,1.0923783791871,5690,24,1.21246661240199,5690
"25",25,1.2575981704399,5690,25,1.4160434593559,5690
"26",26,1.19365737747976,5690,26,1.13872020831824,5690
"27",27,1.09125700145905,5690,27,1.26975211660451,5690
"28",28,1.05769626217876,5690,28,1.13738266191094,5690
"29",29,1.13080217373783,5690,29,1.02227947685066,5690
"30",30,1.0883555704276,5690,30,1.32164679968475,5690
"31",31,1.05116050239527,5690,31,1.08191899349854,5690
"32",32,1.04342796031967,5690,32,1.13362640856982,5690
"33",33,1.26288078788791,5690,33,1.11252168831404,5690
"34",34,1.04574367993026,5690,34,1.11926378726645,5690
"35",35,1.08701858500266,5690,35,1.47883541298033,5690
"36",36,1.066623711607,5690,36,1.15601389939629,5690
"37",37,1.02398448449258,5690,37,1.05512827061835,5690
"38",38,1.2388733421826,5690,38,1.02615415808954,5690
"39",39,1.05132253268895,5690,39,1.18052228082061,5690
"40",40,0.982751233809849,5690,40,1.02186042459676,5690
"41",41,1.36571445271279,5690,41,1.25027084596152,5690
"42",42,1.12208730478192,5690,42,1.28965026669799,5690
"43",43,1.11312023436078,5690,43,1.06735726458529,5690
"44",44,1.09317438098763,5690,44,1.05092146666917,5690
"45",45,1.08286738850059,5690,45,1.04933267108015,5690
"46",46,1.07312771796968,5690,46,1.13101395873695,5690
"47",47,1.49720870216765,5690,47,1.73439110247696,5690
"48",48,1.18088821846562,5690,48,1.23249373631652,5690
"49",49,1.00201648919971,5690,49,1.21173623375955,5690
"50",50,1.07179752739,5690,50,1.06652947327747,5690
"51",51,0.961305772582639,5690,51,1.09671861421525,5690
"52",52,1.09222866404894,5690,52,1.25418212324929,5690
"53",53,1.01763883481543,5690,53,1.03721446575712,5690
"54",54,1.11044917501494,5690,54,1.29658662535541,5690
"55",55,1.12224314521865,5690,55,1.14295583942744,5690
"56",56,1.20027871125765,5690,56,1.14702064313434,5690
"57",57,1.09407962429861,5690,57,1.02131578429254,5690
"58",58,1.26352332661907,5690,58,1.27649374910404,5690
"59",59,1.03769713921788,5690,59,1.01678008440679,5690
"60",60,1.04858401144758,5690,60,1.26256455816693,5690
"61",61,1.08903533516028,5690,61,1.27596166444081,5690
"62",62,1.19871630665814,5690,62,1.06068861657764,5690
"63",63,1.01906628474271,5690,63,1.0684067630486,5690
"64",64,1.09489696523484,5690,64,1.38012315585875,5690
"65",65,1.06713008151743,5690,65,1.1366756343128,5690
"66",66,1.07384988030469,5690,66,1.05840629966028,5690
"67",67,1.00749588437046,5690,67,1.05952877685294,5690
"68",68,1.02068567930926,5690,68,1.04482456813918,5690
"69",69,1.0143791499701,5690,69,1.12875189156735,5690
"70",70,1.146808900518,5690,70,1.11828609485417,5690
"71",71,1.02731454847409,5690,71,1.09906464645987,5690
"72",72,1.08835217899058,5690,72,1.09744487090422,5690
"73",73,0.906380610922379,5690,73,0.949181684528487,5690
"74",74,1.01382660238518,5690,74,1.03779279271397,5690
"75",75,1.21479988282791,5690,75,1.06910159632369,5690
"76",76,0.994795492719228,5690,76,1.05493475127595,5690
"77",77,1.11008918136315,5690,77,1.14579683869154,5690
"78",78,1.10564504108758,5690,78,1.18856615283649,5690
"79",79,1.2603799611496,5690,79,1.033369836523,5690
"80",80,1.00049917141396,5690,80,1.01550957239481,5690
"81",81,1.00295639044228,5690,81,1.10612090515342,5690
"82",82,1.16646759104008,5690,82,1.18597775106776,5690
"83",83,0.989141593109211,5690,83,1.07818757783608,5690
"84",84,1.11170552154819,5690,84,1.10149055456478,5690
"85",85,1.05263728809451,5690,85,1.19541934346053,5690
"86",86,1.00448821336875,5690,86,1.13031344289533,5690
"87",87,0.993713682848837,5690,87,1.03840435430469,5690
"88",88,1.02376475504659,5690,88,1.21609610975746,5690
"89",89,1.01017672740146,5690,89,1.08100598710323,5690
"90",90,1.03591780451627,5690,90,1.08248066308331,5690
"91",91,1.15391968818735,5690,91,1.18932027753291,5690
"92",92,1.30478734748799,5690,92,1.27650829004209,5690
"93",93,1.20123898238125,5690,93,1.28624505280367,5690
"94",94,1.00151342412638,5690,94,1.08053547824365,5690
"95",95,1.00589071284935,5690,95,1.12869049340572,5690
