"","replicate_id","undershoot_ratio","subsample","replicate_id.1","undershoot_ratio.1","subsample.1","replicate_id.2","undershoot_ratio.2","subsample.2","replicate_id.3","undershoot_ratio.3","subsample.3","replicate_id.4","undershoot_ratio.4","subsample.4","replicate_id.5","undershoot_ratio.5","subsample.5","replicate_id.6","undershoot_ratio.6","subsample.6","replicate_id.7","undershoot_ratio.7","subsample.7","replicate_id.8","undershoot_ratio.8","subsample.8","replicate_id.9","undershoot_ratio.9","subsample.9"
"1",1,2.14928354346944,1000,1,2.37032764032953,1000,1,1.32254058033955,1000,1,1.47500765380124,1000,1,1.15030546754624,1000,1,1.36196472424488,1000,1,1.80752666325505,1000,1,1.21723148695849,1000,1,5.30569311099966,1000,1,3.49255322380528,1000
"2",2,2.16026800434951,1000,2,1.17854793088812,1000,2,1.09306417368836,1000,2,1.16579020296072,1000,2,1.16448811676002,1000,2,1.19522817136255,1000,2,1.14857555988303,1000,2,1.4340096800463,1000,2,1.74359861723947,1000,2,6.00974900832241,1000
"3",3,4.21325479167149,1000,3,1.22916429843281,1000,3,1.28733308129432,1000,3,1.13039913060507,1000,3,1.13891865380145,1000,3,2.55829762956304,1000,3,1.25823668545068,1000,3,1.30725150307918,1000,3,1.6768705030407,1000,3,2.79656160739,1000
"4",4,1.2904205484643,1000,4,1.15401641340574,1000,4,1.06444249639405,1000,4,1.45446577567393,1000,4,1.05747194613505,1000,4,1.11505008736279,1000,4,1.52719010656366,1000,4,1.29230672996152,1000,4,1.13834795547053,1000,4,1.81826290934831,1000
"5",5,1.45234822348426,1000,5,0.999084609111409,1000,5,1.26080006912403,1000,5,1.07094497838305,1000,5,1.1733774629513,1000,5,1.0362943108312,1000,5,1.75594466204142,1000,5,2.74637806421272,1000,5,2.32863586474135,1000,5,2.88643421795289,1000
"6",6,1.21067142725359,1000,6,1.5421827865139,1000,6,1.14236809707437,1000,6,2.95605609612833,1000,6,1.27027573354053,1000,6,1.48515986836928,1000,6,1.08394487313894,1000,6,1.23486939065613,1000,6,1.12439166937487,1000,6,2.61162836141576,1000
"7",7,1.35523126222378,1000,7,1.171716619297,1000,7,1.03824532088989,1000,7,1.04607787840572,1000,7,1.09441864102068,1000,7,1.13642171089965,1000,7,1.5500059590684,1000,7,1.03364424393802,1000,7,1.7476649399466,1000,7,3.82835753000876,1000
"8",8,1.32598804917208,1000,8,1.18379459959425,1000,8,1.14558749349911,1000,8,1.22155985092691,1000,8,1.32762777278825,1000,8,1.8970337669946,1000,8,1.65249124649346,1000,8,1.02351737943171,1000,8,1.06818938247573,1000,8,4.58069530424716,1000
"9",9,1.00411944941111,1000,9,1.13368603230211,1000,9,1.16522977104815,1000,9,1.9261144438285,1000,9,1.10156325147837,1000,9,1.16460025455839,1000,9,1.03584515109143,1000,9,1.1081498061797,1000,9,1.31800122870368,1000,9,2.03737405984055,1000
"10",10,2.10644055954738,1000,10,1.09154650397125,1000,10,1.35633775519635,1000,10,1.14489711328362,1000,10,3.399682929458,1000,10,1.18763005327349,1000,10,1.20831723344634,1000,10,1.49536040019941,1000,10,1.4377250776322,1000,10,2.25929151983943,1000
