"","replicate_id","undershoot_ratio","subsample","replicate_id.1","undershoot_ratio.1","subsample.1","replicate_id.2","undershoot_ratio.2","subsample.2","replicate_id.3","undershoot_ratio.3","subsample.3","replicate_id.4","undershoot_ratio.4","subsample.4","replicate_id.5","undershoot_ratio.5","subsample.5","replicate_id.6","undershoot_ratio.6","subsample.6","replicate_id.7","undershoot_ratio.7","subsample.7","replicate_id.8","undershoot_ratio.8","subsample.8","replicate_id.9","undershoot_ratio.9","subsample.9"
"1",1,1.06617080808856,1000,1,1.5538642057587,1000,1,0.971335621671464,1000,1,2.34643805133282,1000,1,1.45436974051942,1000,1,15.3928226750019,1000,1,1.60679764734403,1000,1,0.922777083009594,1000,1,1.73990209559802,1000,1,20.379444103264,1000
"2",2,1.99757109968312,1000,2,0.971615469827282,1000,2,0.873369832787185,1000,2,1.21677465857451,1000,2,2.10759231268079,1000,2,1.27144250999823,1000,2,1.68478330543345,1000,2,1.37066046582376,1000,2,3.46624846063512,1000,2,6.4358413987642,1000
"3",3,0.861612363081542,1000,3,2.02572798342368,1000,3,0.911596267044,1000,3,1.07771331707606,1000,3,1.06025078942444,1000,3,1.44719764223201,1000,3,1.77167135624584,1000,3,0.868332030752816,1000,3,6.79728523267203,1000,3,18.4340504608883,1000
"4",4,1.29577476424425,1000,4,0.930527280600338,1000,4,0.871387854553,1000,4,0.841076974913928,1000,4,3.38690234517916,1000,4,1.11740278860207,1000,4,2.59735610809048,1000,4,0.982122731128764,1000,4,2.09786753884704,1000,4,8.48491945264267,1000
"5",5,0.989586287178195,1000,5,2.15276322471372,1000,5,0.931471730154987,1000,5,1.78187950493035,1000,5,1.65536730190059,1000,5,9.47116431240101,1000,5,0.829679556981434,1000,5,2.23316113020423,1000,5,4.00360715531692,1000,5,7.05507323805058,1000
"6",6,3.60472485251757,1000,6,0.886595475163416,1000,6,0.856047043409268,1000,6,1.59537687347432,1000,6,0.91866256879527,1000,6,4.89580006745719,1000,6,4.13915212291054,1000,6,3.69506176363082,1000,6,3.01848384274885,1000,6,26.1074276992741,1000
"7",7,1.18802694047167,1000,7,2.91911686738039,1000,7,2.85056634884098,1000,7,4.29833397972838,1000,7,0.972987066290257,1000,7,3.21779049872507,1000,7,1.02850925381615,1000,7,3.1719357533266,1000,7,0.789086774165029,1000,7,3.76534956500766,1000
"8",8,0.818409395793415,1000,8,1.66370413126002,1000,8,0.728402432645778,1000,8,1.48858335183468,1000,8,1.21801790855481,1000,8,0.919439196501171,1000,8,0.949511001505738,1000,8,0.805121478620155,1000,8,1.61655790311378,1000,8,8.63519631557741,1000
"9",9,1.51691704060627,1000,9,0.989027821691478,1000,9,0.953096253679485,1000,9,0.860890377102941,1000,9,1.0181954573797,1000,9,1.23941371501035,1000,9,0.962663153880891,1000,9,0.794378961673704,1000,9,3.47246621662129,1000,9,9.84801963770727,1000
"10",10,0.933950381624012,1000,10,0.881290076504217,1000,10,2.12942712228042,1000,10,0.73519826607444,1000,10,1.29683859150769,1000,10,1.19598712570591,1000,10,0.84689888418744,1000,10,6.32417155526247,1000,10,0.837195071022324,1000,10,12.2312021131108,1000
"11",11,0.914416563019467,1000,11,1.05675620201035,1000,11,1.85508821465855,1000,11,1.01079034036026,1000,11,1.29801817309526,1000,11,1.32382183211755,1000,11,2.63924307508176,1000,11,0.899834281292168,1000,11,1.23837224607639,1000,11,7.72913781352825,1000
"12",12,1.57747657024612,1000,12,1.29432508559091,1000,12,1.02469452039261,1000,12,1.77085639512378,1000,12,0.76246311106717,1000,12,3.04099020074949,1000,12,0.942796779106539,1000,12,5.52211176998345,1000,12,3.67273772255316,1000,12,17.3401023275789,1000
"13",13,1.34369607487256,1000,13,0.869298192128477,1000,13,1.04713598268165,1000,13,2.20364389552091,1000,13,2.62363471299237,1000,13,2.35072743773783,1000,13,0.886448751450873,1000,13,4.15360242969933,1000,13,2.87811537216417,1000,13,8.86763377820353,1000
"14",14,0.935369404575624,1000,14,0.848200895896799,1000,14,1.07682569355741,1000,14,0.928137526097025,1000,14,1.21767925707623,1000,14,1.01672706829627,1000,14,3.05138653853956,1000,14,8.44552802267921,1000,14,1.76991176322308,1000,14,2.49902295140431,1000
"15",15,0.901417546675546,1000,15,0.974734931285765,1000,15,0.983593645032818,1000,15,1.3872622951168,1000,15,2.75187977544604,1000,15,4.1310984287582,1000,15,1.49705183079827,1000,15,1.11356216194962,1000,15,10.5219539684615,1000,15,3.88217852411721,1000
"16",16,1.61032131391567,1000,16,1.02820089479043,1000,16,1.07050217870958,1000,16,0.86503864686669,1000,16,3.7169589360385,1000,16,2.48876108028885,1000,16,1.66390315515377,1000,16,7.39396380553908,1000,16,1.27503648879856,1000,16,13.705165550837,1000
"17",17,0.955612085062939,1000,17,0.855979356083757,1000,17,1.03430927226683,1000,17,1.51659391305134,1000,17,0.880008406151567,1000,17,0.790510321207044,1000,17,2.07706385629627,1000,17,8.7498167874888,1000,17,2.05823742350219,1000,17,14.3292713034892,1000
"18",18,0.838421739977877,1000,18,0.92161824845031,1000,18,1.32941678395185,1000,18,2.06588321941745,1000,18,2.08920396858081,1000,18,3.17430536929718,1000,18,0.872429669224691,1000,18,0.969518003170534,1000,18,1.59438730000412,1000,18,12.4173146240804,1000
"19",19,0.813208284109695,1000,19,1.91451061227667,1000,19,1.5054402228363,1000,19,1.42716463725192,1000,19,1.50809922985661,1000,19,4.74669394318238,1000,19,0.885356916796629,1000,19,14.1974330593453,1000,19,1.25548894080464,1000,19,8.08966163470084,1000
