"","replicate_id","overshoot_ratio","subsample","replicate_id.1","overshoot_ratio.1","subsample.1","replicate_id.2","overshoot_ratio.2","subsample.2","replicate_id.3","overshoot_ratio.3","subsample.3","replicate_id.4","overshoot_ratio.4","subsample.4","replicate_id.5","overshoot_ratio.5","subsample.5","replicate_id.6","overshoot_ratio.6","subsample.6","replicate_id.7","overshoot_ratio.7","subsample.7","replicate_id.8","overshoot_ratio.8","subsample.8","replicate_id.9","overshoot_ratio.9","subsample.9"
"1",1,1.00526059209456,1000,1,2.16003322162095,1000,1,1.84135547345865,1000,1,1.63027192222609,1000,1,0.851272394419621,1000,1,1.04919582513738,1000,1,0.770617698410296,1000,1,0.891088600511524,1000,1,1.34440837227801,1000,1,1.18870465058387,1000
"2",2,0.855157951010777,1000,2,0.767601847422598,1000,2,0.800342945011559,1000,2,2.35130662881167,1000,2,0.930717229269583,1000,2,2.2327260387806,1000,2,1.36477700459978,1000,2,1.70110587320262,1000,2,4.02578841031676,1000,2,5.50436287341527,1000
"3",3,1.10932014513361,1000,3,0.978445391578742,1000,3,1.69454282078485,1000,3,2.03289244097293,1000,3,0.869825224498218,1000,3,2.71992096059518,1000,3,0.952884339882218,1000,3,3.80923657818004,1000,3,4.45581232437764,1000,3,3.46747149689852,1000
"4",4,0.974994295491437,1000,4,1.06619121293472,1000,4,2.46979394243341,1000,4,1.01307154123174,1000,4,1.38267433177476,1000,4,1.26382897447879,1000,4,2.18608421357549,1000,4,2.19048839390672,1000,4,0.865538656843676,1000,4,3.36633538366993,1000
"5",5,1.16817807581537,1000,5,1.24913731872735,1000,5,1.9190912981637,1000,5,0.982877638970909,1000,5,1.0375146659753,1000,5,1.44162736788593,1000,5,1.51731982286213,1000,5,0.689342228761408,1000,5,6.48622609318861,1000,5,2.52200887587492,1000
"6",6,1.05505047734827,1000,6,1.68671515884756,1000,6,1.27645297676726,1000,6,1.32572837399836,1000,6,0.830308156790994,1000,6,3.05918073594359,1000,6,4.61540674142916,1000,6,3.98879633240351,1000,6,2.49178732746325,1000,6,4.4478548673621,1000
"7",7,1.00943080083474,1000,7,0.902159835232171,1000,7,1.59285643032692,1000,7,1.08336871719524,1000,7,1.00575789851129,1000,7,1.34995478950906,1000,7,2.3234053609075,1000,7,1.50136949046164,1000,7,2.72186259172025,1000,7,3.28514979347921,1000
"8",8,0.929056337673863,1000,8,2.49340165979217,1000,8,1.00078991941867,1000,8,0.847972552221654,1000,8,1.31902416015498,1000,8,2.47338089157364,1000,8,2.81843395765808,1000,8,0.738730588595401,1000,8,5.4528021432465,1000,8,4.56085292120378,1000
"9",9,1.17961838011698,1000,9,1.87114151376511,1000,9,1.95686512518001,1000,9,1.71317825103379,1000,9,3.00501913212958,1000,9,1.53173898884393,1000,9,3.19865700673408,1000,9,5.02045651390021,1000,9,0.801610138570641,1000,9,5.9635156676896,1000
"10",10,1.29501018818361,1000,10,0.896546804175564,1000,10,2.01610539983244,1000,10,0.87924217665071,1000,10,1.43274539150405,1000,10,2.13146052840447,1000,10,2.48986673948772,1000,10,0.853870384119311,1000,10,1.66301028650118,1000,10,2.18250479406994,1000
"11",11,1.0972394747571,1000,11,0.938609939496634,1000,11,1.41696096292443,1000,11,1.81990188651837,1000,11,2.82598929450817,1000,11,1.60284366202362,1000,11,2.44179938074291,1000,11,0.881538769951314,1000,11,2.32460920057131,1000,11,1.91709350968375,1000
"12",12,1.24116516319833,1000,12,0.725677735381884,1000,12,1.41101023811152,1000,12,0.908676634158456,1000,12,1.02472342760521,1000,12,2.38537522099942,1000,12,2.0055021709986,1000,12,0.945681395391072,1000,12,0.983688795219822,1000,12,3.7855450884805,1000
"13",13,0.95406164873392,1000,13,2.30455931100604,1000,13,1.47377106305968,1000,13,1.12908073375298,1000,13,1.71665246620304,1000,13,2.86074512124095,1000,13,2.56928230378918,1000,13,1.46142435872939,1000,13,4.35143154362549,1000,13,2.46649287429704,1000
"14",14,1.09411424245791,1000,14,1.1841422162262,1000,14,0.872272996323723,1000,14,0.871169691564597,1000,14,1.33337473657353,1000,14,0.797487396437046,1000,14,2.48314812023082,1000,14,0.823476210448179,1000,14,4.51493055654284,1000,14,3.9088360758277,1000
"15",15,1.12416446277193,1000,15,1.1323332571227,1000,15,1.97517937121083,1000,15,1.40892514997755,1000,15,0.932563883039353,1000,15,0.981115321420511,1000,15,4.78709286525189,1000,15,2.08222519378397,1000,15,0.961259532261483,1000,15,3.26318067014245,1000
"16",16,0.931000937789656,1000,16,0.972018044273535,1000,16,1.51448969550882,1000,16,0.982003591932784,1000,16,1.17014907189652,1000,16,2.44024055698597,1000,16,0.874701668806404,1000,16,2.13843867289057,1000,16,2.63810425953359,1000,16,9.66786524632668,1000
"17",17,1.34899044634504,1000,17,1.10138977431783,1000,17,0.857448401557105,1000,17,1.01251213603107,1000,17,0.975320276320435,1000,17,3.83030483690584,1000,17,1.84885653143479,1000,17,1.89319617589244,1000,17,1.98250611434525,1000,17,3.56760788207122,1000
"18",18,0.751655952285825,1000,18,3.32724018261565,1000,18,1.79069579433477,1000,18,1.33352815560494,1000,18,1.0918077249326,1000,18,0.758448847975353,1000,18,0.973627460229237,1000,18,1.29961120737265,1000,18,10.1991389350964,1000,18,1.91410605143716,1000
"19",19,1.18540672650133,1000,19,0.751123224417968,1000,19,1.56769194630257,1000,19,1.25877446880557,1000,19,0.954169227585951,1000,19,2.44318634152651,1000,19,0.958072483641412,1000,19,4.9385006744605,1000,19,2.40114968269034,1000,19,2.86515236586925,1000
