"","replicate_id","overshoot_ratio","subsample","replicate_id","undershoot_ratio","subsample"
"1",1,0.988826027307857,5690,1,2.33798960198397,5690
"2",2,1.06316438184975,5690,2,1.10145470306488,5690
"3",3,1.10302277428385,5690,3,0.872475904733074,5690
"4",4,1.08181022066867,5690,4,0.901583451174802,5690
"5",5,0.949545626924658,5690,5,1.73199381775838,5690
"6",6,1.12835450757211,5690,6,0.944922900132147,5690
"7",7,0.987349778241162,5690,7,1.06548183306837,5690
"8",8,1.29509357955526,5690,8,1.03354702501315,5690
"9",9,1.03451679320885,5690,9,0.927829157012927,5690
"10",10,1.00215207750532,5690,10,0.938943005959663,5690
"11",11,0.959842509052468,5690,11,1.67378193904877,5690
"12",12,0.966707071576665,5690,12,1.24387754092143,5690
"13",13,0.910351107739385,5690,13,1.88669195826244,5690
"14",14,1.00218551780498,5690,14,1.49300760545351,5690
"15",15,0.946364904038529,5690,15,0.943496631564643,5690
"16",16,1.04551497424537,5690,16,1.00532285296938,5690
"17",17,0.929168601735163,5690,17,1.02934579304054,5690
"18",18,0.955275584429616,5690,18,1.15374699714066,5690
"19",19,1.06596374478844,5690,19,1.06067748405611,5690
"20",20,0.938661718566968,5690,20,1.42559011740224,5690
"21",21,0.966372134464016,5690,21,0.922843700574533,5690
"22",22,1.11507448989638,5690,22,2.16234950000471,5690
"23",23,1.06473176816901,5690,23,0.977268728654829,5690
"24",24,0.975933356658995,5690,24,2.59107836980914,5690
"25",25,1.00105077614285,5690,25,1.18166122279196,5690
"26",26,1.14279573890559,5690,26,1.49674066342703,5690
"27",27,1.03161922801633,5690,27,1.32895838858975,5690
"28",28,1.19477758119654,5690,28,1.01967348344542,5690
"29",29,1.04907845514951,5690,29,0.978367677929727,5690
"30",30,0.99585484890718,5690,30,1.23090303807735,5690
"31",31,1.02788015050839,5690,31,1.01241996934998,5690
"32",32,0.966808443268475,5690,32,1.60282787520452,5690
"33",33,1.04732782808027,5690,33,1.07655428891796,5690
"34",34,0.978096430415178,5690,34,1.13891966677697,5690
"35",35,1.02789927757051,5690,35,3.07043516020648,5690
"36",36,0.945253803602865,5690,36,0.968058356308273,5690
"37",37,1.00754489579869,5690,37,2.70204657955315,5690
"38",38,1.23337522838563,5690,38,1.50905417964805,5690
"39",39,0.962996385476447,5690,39,1.20081200813276,5690
"40",40,0.961224197794908,5690,40,1.27278609728189,5690
"41",41,1.19619118832794,5690,41,1.40964788219528,5690
"42",42,1.01117449118429,5690,42,3.49016172826419,5690
"43",43,1.01381627404435,5690,43,1.21400829989148,5690
"44",44,1.02326925973167,5690,44,2.33725664313416,5690
"45",45,0.984473808226904,5690,45,1.10532611019522,5690
"46",46,0.984381034773005,5690,46,1.16445324907951,5690
"47",47,1.26478126178877,5690,47,1.33879174604379,5690
"48",48,1.0480828205991,5690,48,1.18541909820456,5690
"49",49,1.08463929846976,5690,49,2.79609596286489,5690
"50",50,0.983605037374221,5690,50,0.977469719125154,5690
"51",51,0.992524412306066,5690,51,2.5996876489956,5690
"52",52,1.20938589946058,5690,52,0.883259549653023,5690
"53",53,1.06677429373233,5690,53,1.37795471476577,5690
"54",54,1.06512789034826,5690,54,1.0662149027222,5690
"55",55,1.07566261785118,5690,55,0.971272647013509,5690
"56",56,1.12384680974462,5690,56,1.2009218474763,5690
"57",57,1.05803184893092,5690,57,2.58549677730075,5690
"58",58,1.00643995998489,5690,58,0.907251100796167,5690
"59",59,1.14149183827472,5690,59,0.911232344826311,5690
"60",60,0.981941494802891,5690,60,1.21996753279021,5690
"61",61,1.13472021920661,5690,61,2.5411156679787,5690
"62",62,0.98233465912012,5690,62,0.894872719167772,5690
"63",63,0.977175604384043,5690,63,1.70467895587319,5690
"64",64,0.944808980397151,5690,64,0.898558859413071,5690
"65",65,1.08963709013979,5690,65,1.03866857930891,5690
"66",66,1.042657765766,5690,66,0.959058885155952,5690
"67",67,1.07880132349237,5690,67,1.47373267810407,5690
"68",68,0.967516963275957,5690,68,0.938056731484692,5690
"69",69,1.09830165260029,5690,69,1.54369986960022,5690
"70",70,1.02990570674199,5690,70,0.953081883243655,5690
"71",71,1.06966623010256,5690,71,1.58117620524516,5690
"72",72,0.907238606852383,5690,72,2.66756184679927,5690
"73",73,1.03108178709044,5690,73,0.958054332853602,5690
"74",74,0.959928880523956,5690,74,1.18556345815147,5690
"75",75,0.990734623400636,5690,75,1.54265740968429,5690
"76",76,1.10731791683032,5690,76,1.08117685345833,5690
"77",77,1.03362745051002,5690,77,1.06562327410878,5690
"78",78,0.969196334505093,5690,78,1.66372005222214,5690
"79",79,0.913469023873392,5690,79,1.12898275428919,5690
"80",80,0.991576473083291,5690,80,1.92503994372265,5690
"81",81,1.02220136156058,5690,81,0.917486100299872,5690
"82",82,1.19987991504588,5690,82,1.30409523166888,5690
"83",83,1.04296277094029,5690,83,2.19422631365269,5690
"84",84,1.04736053990233,5690,84,1.68835228295525,5690
"85",85,1.06798369168159,5690,85,0.962017375679123,5690
"86",86,0.988415791022785,5690,86,0.902320268856263,5690
"87",87,0.984299365181643,5690,87,2.86256868760798,5690
"88",88,0.962347156288671,5690,88,1.17006977343494,5690
"89",89,1.05447186357431,5690,89,0.924063504841189,5690
"90",90,0.917780113572176,5690,90,1.53512603980799,5690
"91",91,0.974316081512666,5690,91,0.935292618123314,5690
"92",92,0.996466220776917,5690,92,1.56198822620102,5690
"93",93,1.17639697852572,5690,93,2.1505154859657,5690
"94",94,1.03225964230748,5690,94,2.45813518784508,5690
"95",95,0.982395433252423,5690,95,1.73801694947859,5690
"96",96,1.07330728142906,5690,96,1.14796891602532,5690
"97",97,1.02215112905849,5690,97,1.83249642499369,5690
"98",98,0.954325922447803,5690,98,1.47890922300023,5690
"99",99,1.01666899723012,5690,99,1.49669646571263,5690
"100",100,0.93575220007283,5690,100,1.23157410690622,5690
"101",101,1.04173437669975,5690,NA,1.58431094685116,NA
"102",102,1.03308808076107,5690,NA,1.23445414653834,NA
"103",103,1.21197373021344,5690,NA,1.99918730251026,NA
"104",104,0.936481004136992,5690,NA,1.31471190682154,NA
"105",105,1.20273011535694,5690,NA,1.77358301599581,NA
"106",106,1.03503178456817,5690,NA,1.1783961003214,NA
"107",107,1.10167396635851,5690,NA,1.67908492240978,NA
"108",108,1.05798941085354,5690,NA,1.34737402025963,NA
"109",109,1.0343617112557,5690,NA,0.973817336851372,NA
"110",110,0.93555472274275,5690,NA,1.79194442326965,NA
"111",111,0.962328208280117,5690,NA,0.966658246402995,NA
