"","replicate_id","overshoot_ratio","subsample","replicate_id","overshoot_ratio","subsample"
"1",1,3.94582867115443,5690,1,1.4053792862272,5690
"2",2,3.17681809242996,5690,2,1.29744306893596,5690
"3",3,10.3411404602696,5690,3,2.20893541301725,5690
"4",4,24.4615667271741,5690,4,2.70990165737728,5690
"5",5,6.55649324151038,5690,5,1.05731162925898,5690
"6",6,10.7815690911395,5690,6,1.47139116820542,5690
"7",7,5.03293964633431,5690,7,1.40667147756068,5690
"8",8,0.991455372496674,5690,8,1.44009126335406,5690
"9",9,2.96490745345119,5690,9,2.10741185726615,5690
"10",10,5.36284158958298,5690,10,1.71616365358673,5690
"11",11,23.0706875072546,5690,11,0.974544604922396,5690
"12",12,4.46502363149786,5690,12,1.35086505241974,5690
"13",13,10.5523653186034,5690,13,1.03877355674968,5690
"14",14,46.2627456498867,5690,14,1.13468810863198,5690
"15",15,10.1568680313011,5690,15,1.62141332580301,5690
"16",16,4.99927162510751,5690,16,1.53012898762572,5690
"17",17,3.41739478493409,5690,17,1.18882425342259,5690
"18",18,5.18266930729077,5690,18,1.3158203289787,5690
"19",19,2.85189140987274,5690,19,1.55747471097384,5690
"20",20,3.75262372132017,5690,20,1.19856989429499,5690
"21",21,5.32352018207307,5690,21,1.76879418287701,5690
"22",22,106.984566187202,5690,22,1.07488264808233,5690
"23",23,5.01067052976444,5690,23,1.75332826687913,5690
"24",24,9.04958815957819,5690,24,0.960259098869217,5690
"25",25,2.7931356223929,5690,25,1.04989710376015,5690
"26",26,159.747837870794,5690,26,0.982200519282353,5690
"27",27,24.9493918233881,5690,27,1.30445868735081,5690
"28",28,2.36647428835623,5690,28,1.31624395833201,5690
"29",29,35.2051901661807,5690,29,1.60398857929437,5690
"30",30,2.29337804369964,5690,30,1.26977770601583,5690
"31",31,4.46861124156206,5690,31,1.37118250083091,5690
"32",32,4.79118547158839,5690,32,1.20387001073926,5690
"33",33,2.60318663276565,5690,33,1.30326019462931,5690
"34",34,4.22605264466828,5690,34,1.28796516756336,5690
"35",35,17.016793005116,5690,35,0.91822844373212,5690
"36",36,5.33354527843088,5690,36,1.58481346715367,5690
"37",37,4.17994073229431,5690,37,0.913989630275279,5690
"38",38,178.60180938209,5690,38,1.17015170840836,5690
"39",39,16.9298014177525,5690,39,1.36635952303898,5690
"40",40,8.14948956426205,5690,40,1.08405285542679,5690
"41",41,33.4519931962755,5690,41,1.04233412946512,5690
"42",42,3.93025801009653,5690,42,1.04821555142087,5690
"43",43,5.92403293104195,5690,43,1.09550183640084,5690
"44",44,28.3009274168231,5690,44,0.918270779116002,5690
"45",45,3.88941932119139,5690,45,1.17435220773343,5690
"46",46,5.81230725784712,5690,46,1.23239367861244,5690
"47",47,1.30925954304646,5690,47,1.10961808764202,5690
"48",48,2.04630769610166,5690,48,1.3495797364269,5690
"49",49,12.7814554011882,5690,49,0.966235330252731,5690
"50",50,6.91865883845847,5690,50,1.62020145131891,5690
"51",51,7.05730527422108,5690,51,0.988714828839619,5690
"52",52,1.49248835894959,5690,52,2.56857874232908,5690
"53",53,3.62873873799938,5690,53,1.10207084129265,5690
"54",54,3.79378526647436,5690,54,1.31390584783009,5690
"55",55,7.77412664438835,5690,55,1.58579698181227,5690
"56",56,39.1694099709725,5690,56,1.38869876148973,5690
"57",57,12.6338625814865,5690,57,0.948191179835904,5690
"58",58,3.60036400326257,5690,58,2.04978370454393,5690
"59",59,25.5501927958715,5690,59,2.35695226300173,5690
"60",60,10.1190739670169,5690,60,1.13066275621425,5690
"61",61,3.47767694089882,5690,61,0.952910555944784,5690
"62",62,1.38335235532674,5690,62,2.70792757456895,5690
"63",63,17.2504435752133,5690,63,1.01243849405067,5690
"64",64,3.43765767471495,5690,64,2.5671192508181,5690
"65",65,10.6086317999458,5690,65,1.29778090371957,5690
"66",66,4.43522201167904,5690,66,1.94754661298934,5690
"67",67,1.61981229493922,5690,67,1.05337521368878,5690
"68",68,5.2493194193079,5690,68,1.88507571078911,5690
"69",69,10.5699835347996,5690,69,1.0206103673328,5690
"70",70,2.5133998910876,5690,70,1.71117364333728,5690
"71",71,4.46362447685161,5690,71,0.930664969088979,5690
"72",72,6.74006346141464,5690,72,1.07733131092851,5690
"73",73,3.9899413893995,5690,73,2.0386397667771,5690
"74",74,5.76022601730337,5690,74,1.49974834018352,5690
"75",75,2.35516123175447,5690,75,0.942916265419986,5690
"76",76,2.0216796585374,5690,76,1.42480660862976,5690
"77",77,2.0800411529482,5690,77,1.27765231044408,5690
"78",78,4.508566076337,5690,78,1.07545712504786,5690
"79",79,3.41315822018884,5690,79,1.18169707906864,5690
"80",80,6.1559898410269,5690,80,0.882123370866788,5690
"81",81,4.23165827403045,5690,81,1.74227323823199,5690
"82",82,9.52439156078483,5690,82,1.39392282525908,5690
"83",83,1.35886945175088,5690,83,1.04878583500536,5690
"84",84,17.3972497862586,5690,84,1.12275969756349,5690
"85",85,2.23623252587169,5690,85,1.78579066181794,5690
"86",86,2.36426294310255,5690,86,2.41562741698817,5690
"87",87,10.6592181332476,5690,87,0.993352285737838,5690
"88",88,3.9470149990584,5690,88,1.34543268641771,5690
"89",89,8.93537570124531,5690,89,1.95817887154743,5690
"90",90,6.97173376418159,5690,90,0.942157002337983,5690
"91",91,4.61047688457839,5690,91,2.24378570141681,5690
"92",92,2.63773381580477,5690,92,0.969220710198664,5690
"93",93,11.0443036763858,5690,93,1.03800840773556,5690
"94",94,3.52295259490355,5690,94,0.895349649951009,5690
"95",95,3.46597546580941,5690,95,0.901651489316592,5690
