"","replicate_id","overshoot_ratio","subsample","replicate_id.1","overshoot_ratio.1","subsample.1","replicate_id.2","overshoot_ratio.2","subsample.2","replicate_id.3","overshoot_ratio.3","subsample.3","replicate_id.4","overshoot_ratio.4","subsample.4","replicate_id.5","overshoot_ratio.5","subsample.5","replicate_id.6","overshoot_ratio.6","subsample.6","replicate_id.7","overshoot_ratio.7","subsample.7","replicate_id.8","overshoot_ratio.8","subsample.8","replicate_id.9","overshoot_ratio.9","subsample.9","replicate_id.10","overshoot_ratio.10","subsample.10","replicate_id.11","overshoot_ratio.11","subsample.11","replicate_id.12","overshoot_ratio.12","subsample.12","replicate_id.13","overshoot_ratio.13","subsample.13","replicate_id.14","overshoot_ratio.14","subsample.14","replicate_id.15","overshoot_ratio.15","subsample.15","replicate_id.16","overshoot_ratio.16","subsample.16","replicate_id.17","overshoot_ratio.17","subsample.17","replicate_id.18","overshoot_ratio.18","subsample.18","replicate_id.19","overshoot_ratio.19","subsample.19"
"1",1,0.922692541919541,1000,1,4.22957656323079,1000,1,3.38097816411469,1000,1,4.86763367984349,1000,1,11.3601381420262,1000,1,2.67286808442449,1000,1,4.22290676535646,1000,1,7.94710692337587,1000,1,13.1071624641065,1000,1,37.6205311737349,1000,1,0.877968678465065,1000,1,0.922164350204941,1000,1,1.64070102889768,1000,1,1.07858938447543,1000,1,0.845917910073449,1000,1,0.834664589287273,1000,1,1.24240237886991,1000,1,0.910204434019815,1000,1,2.36243564893194,1000,1,4.14498872769453,1000
"2",2,1.18743889996464,1000,2,4.4096164421796,1000,2,2.93518831219417,1000,2,4.75988281018552,1000,2,7.67411986830666,1000,2,6.98892735453991,1000,2,3.4751716264398,1000,2,7.97077842976772,1000,2,4.07853634000685,1000,2,66.702116698085,1000,2,0.867003938112561,1000,2,1.22571130652949,1000,2,1.88962609395604,1000,2,1.15108762160536,1000,2,1.28330012248081,1000,2,0.78448638740482,1000,2,2.23613816291939,1000,2,1.29752459337995,1000,2,1.64679795826572,1000,2,4.84337340128649,1000
"3",3,3.71891774603397,1000,3,3.13047062397266,1000,3,1.96202031358967,1000,3,2.5326573199323,1000,3,2.05800590961881,1000,3,5.53853685480174,1000,3,1.42408690879947,1000,3,14.8549086870602,1000,3,20.2031772586875,1000,3,76.8625527319433,1000,3,0.736600068599935,1000,3,1.234921118551,1000,3,0.91578258966927,1000,3,1.0080088842889,1000,3,1.12941708533311,1000,3,2.09684867087865,1000,3,1.25626683275789,1000,3,1.62012385305776,1000,3,2.77580979856825,1000,3,2.71883504756043,1000
"4",4,1.25949916911077,1000,4,5.87706333159974,1000,4,2.56983812439476,1000,4,1.02319273422828,1000,4,4.65013282729227,1000,4,4.69361613308931,1000,4,6.4180831747947,1000,4,4.43043931695024,1000,4,14.2749636423425,1000,4,124.67954031631,1000,4,1.91222272164874,1000,4,1.12431717804957,1000,4,1.0860424826008,1000,4,0.730269873360431,1000,4,1.53731950076013,1000,4,0.805644649143245,1000,4,1.59425023717312,1000,4,3.72710558134148,1000,4,1.14688964048352,1000,4,1.01349714841279,1000
"5",5,1.45256141995999,1000,5,6.08574507658622,1000,5,2.52199441722447,1000,5,2.88624323700442,1000,5,2.61094545926255,1000,5,1.54119040738218,1000,5,13.051420572039,1000,5,9.66648592341627,1000,5,13.0964894612624,1000,5,62.2453176434959,1000,5,1.06945792634351,1000,5,0.866702641512213,1000,5,1.18202823985669,1000,5,0.870062245319345,1000,5,0.968887273816534,1000,5,1.82244150463497,1000,5,1.17356547654011,1000,5,2.70219674110006,1000,5,0.932759232386005,1000,5,1.81100435401871,1000
"6",6,1.01834384528193,1000,6,1.10876040228611,1000,6,2.53906385511214,1000,6,3.77326958672928,1000,6,5.50723226220183,1000,6,9.16875561054483,1000,6,10.7453106907605,1000,6,13.2165227166282,1000,6,29.3836842720635,1000,6,59.5284437541886,1000,6,1.03624696589189,1000,6,4.07709028396042,1000,6,1.41805081877777,1000,6,1.36648387191713,1000,6,1.15131373518151,1000,6,1.27794720896113,1000,6,2.76658632406254,1000,6,2.6082339572131,1000,6,1.90351559867426,1000,6,11.6387243661586,1000
"7",7,3.89782733149779,1000,7,1.6420589191074,1000,7,5.04121080971666,1000,7,2.71202245939876,1000,7,2.47537610659652,1000,7,3.24770313422408,1000,7,3.85694850728539,1000,7,9.33372015850323,1000,7,21.2783406027678,1000,7,108.129438993956,1000,7,1.43248959918093,1000,7,4.3910822767057,1000,7,6.18639099568829,1000,7,1.00470775198609,1000,7,3.18329834699614,1000,7,1.7823092223598,1000,7,1.09257166185473,1000,7,2.2186062652696,1000,7,0.99115779173727,1000,7,1.98196485641233,1000
"8",8,4.97748982795649,1000,8,3.76526757663587,1000,8,2.26084193965329,1000,8,4.94397923120379,1000,8,6.61862146305172,1000,8,3.6894516102345,1000,8,12.2856989408497,1000,8,5.15751581009714,1000,8,33.0940893198458,1000,8,89.8518214248023,1000,8,0.948934323224849,1000,8,2.03332343315377,1000,8,1.47585154933294,1000,8,1.89748732332679,1000,8,0.988220996451066,1000,8,1.98804702468612,1000,8,0.77769449362666,1000,8,2.45748007993707,1000,8,2.56697349827103,1000,8,0.894553530252974,1000
"9",9,2.17179642002316,1000,9,2.3295139888968,1000,9,1.72124528538441,1000,9,2.75105779092654,1000,9,2.86768273995333,1000,9,4.20584471697807,1000,9,0.760736523153921,1000,9,1.03768723864611,1000,9,24.4310978350048,1000,9,61.6317316236348,1000,9,0.759614833376866,1000,9,1.19700820317297,1000,9,1.01610368921784,1000,9,0.77585948977316,1000,9,2.46352550109014,1000,9,1.12454875439654,1000,9,1.17117520824368,1000,9,0.825636376871341,1000,9,1.96411193879401,1000,9,6.26877508865808,1000
"10",10,5.19635547258757,1000,10,2.95739087086515,1000,10,1.9676703881482,1000,10,4.39161639554453,1000,10,2.10358213819685,1000,10,3.72310145745229,1000,10,6.31481164924397,1000,10,12.2105777889353,1000,10,11.085634948961,1000,10,50.262593236082,1000,10,1.06827641815863,1000,10,1.70541633378041,1000,10,2.60339918275232,1000,10,1.16431727972189,1000,10,4.05354792939764,1000,10,0.970724256836231,1000,10,2.08920570602602,1000,10,5.89017026052518,1000,10,1.42011949032517,1000,10,6.72390028052527,1000
